Income,CreditScore,EmploymentStatus,LoanAmount,RepaymentHistory,LoanStatus
94740,452,Self-Employed,515226,Average,Not Eligible
136352,609,Employed,797852,Good,Eligible
86617,542,Employed,621441,Good,Eligible
114841,792,Self-Employed,158042,Poor,Eligible
36896,665,Employed,104110,Good,Eligible
145729,629,Self-Employed,195051,Good,Eligible
66175,406,Self-Employed,815419,Good,Not Eligible
27805,525,Employed,813461,Good,Not Eligible
25237,517,Employed,78328,Good,Not Eligible
135247,805,Self-Employed,687199,Average,Eligible
40056,558,Employed,325011,Average,Not Eligible
65543,816,Employed,109234,Average,Eligible
76556,353,Unemployed,862283,Good,Not Eligible
134548,346,Employed,867711,Good,Eligible
131488,820,Self-Employed,822791,Good,Eligible
23343,398,Employed,277135,Good,Not Eligible
33500,319,Employed,647690,Good,Not Eligible
73222,789,Employed,851881,Good,Eligible
49375,718,Employed,388365,Good,Eligible
29662,361,Employed,925512,Good,Not Eligible
36964,444,Employed,579739,Poor,Not Eligible
133429,515,Self-Employed,137178,Poor,Not Eligible
141692,302,Employed,900193,Average,Not Eligible
79638,459,Employed,286562,Poor,Not Eligible
93666,419,Employed,351014,Average,Not Eligible
105067,388,Employed,408710,Good,Eligible
138937,628,Employed,435893,Good,Eligible
87215,656,Employed,173765,Average,Eligible
89042,566,Employed,437025,Average,Not Eligible
33284,622,Employed,998377,Average,Not Eligible
92789,840,Employed,178389,Average,Eligible
104664,494,Self-Employed,763987,Good,Eligible
113468,631,Employed,247227,Average,Not Eligible
81389,469,Employed,542402,Poor,Not Eligible
29435,820,Employed,861804,Good,Eligible
74340,762,Employed,840074,Average,Eligible
64078,339,Self-Employed,310220,Good,Eligible
98832,836,Employed,471217,Average,Eligible
71293,560,Employed,346208,Average,Not Eligible
115981,694,Employed,800186,Good,Eligible
98781,525,Employed,850554,Average,Not Eligible
80403,423,Employed,992324,Good,Not Eligible
49124,337,Employed,118431,Average,Not Eligible
115435,627,Self-Employed,105745,Good,Eligible
63919,550,Employed,100081,Average,Not Eligible
128761,475,Employed,976215,Good,Eligible
141305,753,Employed,266204,Average,Eligible
55247,336,Employed,986297,Good,Not Eligible
141172,615,Employed,451415,Poor,Not Eligible
114758,413,Self-Employed,650541,Poor,Not Eligible
111747,339,Self-Employed,348335,Poor,Not Eligible
82752,600,Employed,846643,Average,Not Eligible
76573,523,Self-Employed,161086,Average,Not Eligible
79101,617,Unemployed,506285,Good,Not Eligible
122756,648,Self-Employed,464758,Good,Eligible
46646,414,Employed,474528,Good,Not Eligible
124185,622,Self-Employed,488458,Average,Not Eligible
43049,339,Employed,938403,Poor,Not Eligible
99605,339,Unemployed,668071,Good,Not Eligible
118116,588,Employed,699969,Poor,Not Eligible
117379,561,Employed,662181,Average,Not Eligible
88385,515,Self-Employed,549797,Average,Not Eligible
146131,446,Employed,208763,Good,Eligible
60158,635,Unemployed,652248,Good,Not Eligible
85417,467,Unemployed,920820,Good,Not Eligible
43289,391,Self-Employed,72601,Average,Not Eligible
130226,652,Employed,461236,Good,Eligible
120793,662,Self-Employed,189227,Good,Eligible
29823,644,Employed,774479,Poor,Not Eligible
80160,469,Employed,742137,Average,Not Eligible
61975,655,Self-Employed,331854,Poor,Eligible
29540,490,Employed,420858,Good,Not Eligible
36364,721,Employed,729892,Good,Eligible
24611,306,Unemployed,703015,Average,Not Eligible
47663,432,Employed,986105,Good,Not Eligible
71991,330,Employed,637515,Good,Not Eligible
77679,834,Unemployed,710327,Good,Eligible
124182,725,Employed,658577,Good,Eligible
50977,693,Self-Employed,201094,Good,Eligible
114704,662,Unemployed,486679,Good,Eligible
69115,736,Unemployed,780031,Good,Eligible
111007,381,Self-Employed,842154,Good,Eligible
108223,655,Employed,732773,Average,Eligible
80890,557,Employed,917482,Good,Not Eligible
86387,823,Self-Employed,552648,Average,Eligible
38071,594,Self-Employed,808108,Good,Not Eligible
79275,523,Employed,811282,Good,Not Eligible
92369,824,Employed,529083,Average,Eligible
31938,345,Employed,395740,Good,Not Eligible
55195,412,Employed,903164,Good,Not Eligible
111680,532,Self-Employed,455513,Good,Eligible
24000,316,Employed,118323,Poor,Not Eligible
90588,659,Unemployed,335960,Good,Eligible
121042,522,Self-Employed,614983,Good,Eligible
113610,747,Employed,462918,Average,Eligible
140420,664,Employed,468458,Good,Eligible
123691,625,Employed,105841,Good,Eligible
126306,766,Employed,440642,Good,Eligible
117856,713,Self-Employed,248784,Average,Eligible
58304,754,Self-Employed,157096,Good,Eligible
131783,532,Self-Employed,142764,Good,Eligible
89449,523,Employed,496790,Good,Eligible
102986,711,Employed,660032,Average,Eligible
109643,634,Self-Employed,864914,Good,Eligible
40764,521,Employed,583459,Poor,Not Eligible
128940,336,Employed,675043,Good,Eligible
106027,577,Employed,542148,Poor,Not Eligible
58494,495,Self-Employed,682413,Poor,Not Eligible
23373,783,Employed,967154,Good,Eligible
32161,541,Self-Employed,418226,Good,Not Eligible
117532,623,Unemployed,53696,Good,Not Eligible
112658,491,Employed,176310,Good,Eligible
143633,316,Employed,987562,Average,Not Eligible
120386,823,Employed,725673,Good,Eligible
47350,700,Self-Employed,855581,Good,Eligible
113008,321,Employed,966496,Good,Not Eligible
114297,773,Employed,889953,Poor,Eligible
45351,419,Employed,95740,Good,Not Eligible
108668,509,Self-Employed,156611,Good,Eligible
134585,605,Employed,448172,Good,Eligible
35305,569,Self-Employed,518947,Poor,Not Eligible
95353,584,Unemployed,525828,Average,Not Eligible
96797,526,Employed,823210,Good,Not Eligible
85953,680,Self-Employed,378785,Good,Eligible
77458,759,Employed,638099,Good,Eligible
127112,306,Self-Employed,495376,Good,Eligible
40358,328,Self-Employed,756673,Poor,Not Eligible
23267,332,Self-Employed,637520,Average,Not Eligible
102745,378,Employed,851849,Good,Not Eligible
109588,758,Employed,730089,Poor,Eligible
58513,837,Employed,162492,Good,Eligible
46092,781,Employed,80099,Average,Eligible
31338,729,Employed,803494,Poor,Not Eligible
20412,584,Employed,473177,Good,Not Eligible
27543,815,Employed,980106,Average,Not Eligible
125891,398,Employed,692762,Good,Eligible
53496,696,Self-Employed,321400,Good,Eligible
80692,788,Employed,529336,Good,Eligible
109084,338,Employed,817876,Good,Eligible
112920,570,Employed,608969,Average,Not Eligible
143555,456,Employed,141328,Poor,Not Eligible
64425,374,Unemployed,792800,Average,Not Eligible
58756,429,Employed,355505,Poor,Not Eligible
38888,383,Self-Employed,507719,Average,Not Eligible
55735,321,Unemployed,84540,Good,Not Eligible
67295,758,Self-Employed,207608,Good,Eligible
137474,838,Self-Employed,134700,Good,Eligible
134352,681,Self-Employed,390676,Average,Eligible
103042,739,Unemployed,761935,Poor,Not Eligible
105999,320,Employed,439770,Good,Eligible
37955,602,Employed,446087,Average,Not Eligible
57841,383,Employed,96002,Average,Not Eligible
90640,752,Employed,99812,Good,Eligible
85510,686,Employed,465842,Good,Eligible
54911,806,Employed,765339,Good,Eligible
79031,556,Employed,307906,Good,Eligible
108726,826,Employed,158946,Good,Eligible
27357,461,Employed,116668,Good,Not Eligible
52479,462,Employed,149003,Good,Eligible
81476,823,Employed,785430,Good,Eligible
64811,570,Employed,270462,Poor,Not Eligible
56208,791,Employed,879430,Good,Eligible
40150,507,Self-Employed,769174,Average,Not Eligible
91180,838,Employed,678889,Good,Eligible
63286,359,Employed,319956,Good,Eligible
132856,729,Self-Employed,111844,Poor,Eligible
88450,608,Employed,775453,Good,Not Eligible
41352,819,Employed,445395,Good,Eligible
75069,326,Self-Employed,749158,Average,Not Eligible
131888,498,Self-Employed,124601,Good,Eligible
130448,686,Employed,975779,Good,Eligible
34397,648,Employed,360001,Good,Not Eligible
61555,835,Unemployed,437699,Good,Eligible
66959,677,Employed,544700,Good,Eligible
20728,826,Employed,332844,Good,Eligible
70517,452,Self-Employed,832215,Poor,Not Eligible
139180,505,Employed,482680,Average,Not Eligible
86234,754,Employed,223423,Average,Eligible
59954,572,Employed,143330,Average,Not Eligible
67280,535,Self-Employed,275391,Poor,Not Eligible
99459,820,Employed,263606,Good,Eligible
36779,800,Self-Employed,457085,Poor,Not Eligible
83932,416,Employed,241387,Average,Not Eligible
92936,685,Employed,291133,Average,Eligible
44466,643,Employed,536904,Good,Not Eligible
56939,694,Self-Employed,464170,Good,Eligible
89896,363,Employed,736915,Good,Not Eligible
55270,371,Employed,375497,Average,Not Eligible
79163,573,Self-Employed,525406,Good,Eligible
102637,619,Employed,488242,Average,Not Eligible
71934,637,Unemployed,412916,Good,Not Eligible
84895,665,Employed,228048,Good,Eligible
52307,794,Self-Employed,403646,Good,Eligible
74098,465,Employed,426087,Good,Eligible
80921,843,Unemployed,421994,Good,Eligible
25486,310,Employed,619383,Good,Not Eligible
28335,600,Employed,195342,Poor,Not Eligible
106900,401,Employed,736268,Good,Eligible
146020,724,Employed,851955,Good,Eligible
141954,691,Employed,112433,Average,Eligible
122795,513,Unemployed,594279,Poor,Not Eligible
109112,387,Employed,322919,Average,Not Eligible
117203,700,Self-Employed,521017,Good,Eligible
31130,345,Employed,397139,Poor,Not Eligible
107508,762,Self-Employed,197745,Average,Eligible
125955,609,Employed,697096,Good,Eligible
138324,385,Employed,732416,Good,Eligible
80566,391,Self-Employed,187686,Good,Eligible
86703,541,Unemployed,57415,Good,Not Eligible
47192,301,Employed,820326,Average,Not Eligible
21062,524,Employed,487100,Good,Not Eligible
104076,415,Employed,984468,Poor,Not Eligible
109780,402,Unemployed,828493,Good,Not Eligible
41545,493,Employed,349188,Good,Not Eligible
41689,465,Employed,762509,Good,Not Eligible
31174,389,Self-Employed,218616,Good,Not Eligible
108461,421,Employed,99976,Average,Not Eligible
146174,442,Employed,475468,Average,Not Eligible
123033,405,Employed,315976,Good,Eligible
29348,727,Unemployed,271883,Good,Not Eligible
43714,604,Employed,261509,Good,Not Eligible
58102,616,Employed,546965,Average,Not Eligible
94460,308,Employed,870580,Good,Not Eligible
122634,372,Employed,813529,Good,Eligible
109930,658,Employed,568823,Average,Eligible
26801,522,Employed,269526,Poor,Not Eligible
123150,715,Employed,948662,Good,Eligible
92267,669,Employed,397220,Good,Eligible
68136,563,Employed,874834,Average,Not Eligible
43625,617,Employed,763087,Average,Not Eligible
102873,383,Self-Employed,88578,Good,Eligible
120843,617,Employed,664741,Poor,Not Eligible
92592,410,Self-Employed,465534,Average,Not Eligible
97052,550,Self-Employed,912147,Good,Not Eligible
64261,682,Employed,258859,Good,Eligible
21542,306,Employed,161435,Good,Not Eligible
41677,758,Employed,790389,Average,Not Eligible
66732,383,Employed,201538,Good,Eligible
70343,507,Employed,932174,Average,Not Eligible
59081,689,Employed,95475,Average,Eligible
82856,613,Employed,896574,Good,Not Eligible
113105,321,Self-Employed,790520,Average,Not Eligible
108858,709,Employed,207636,Poor,Eligible
39065,814,Self-Employed,203484,Good,Eligible
144097,426,Employed,143526,Good,Eligible
103460,313,Self-Employed,101001,Good,Eligible
108092,311,Employed,894081,Poor,Not Eligible
146116,386,Employed,242029,Poor,Not Eligible
74693,823,Self-Employed,478733,Good,Eligible
46962,836,Employed,718516,Average,Not Eligible
48295,600,Employed,990568,Good,Not Eligible
33807,542,Unemployed,599999,Good,Not Eligible
62348,421,Employed,604394,Good,Not Eligible
46432,446,Employed,901890,Good,Not Eligible
103285,655,Self-Employed,984093,Good,Eligible
126995,608,Self-Employed,532488,Good,Eligible
111792,587,Self-Employed,442573,Good,Eligible
77854,606,Employed,267583,Poor,Not Eligible
60262,848,Self-Employed,413898,Good,Eligible
57080,651,Employed,188286,Good,Eligible
21324,611,Self-Employed,277189,Good,Not Eligible
111267,358,Unemployed,176479,Average,Not Eligible
144707,334,Self-Employed,470343,Good,Eligible
55909,744,Self-Employed,186213,Good,Eligible
109339,392,Employed,603172,Poor,Not Eligible
39870,506,Self-Employed,314852,Good,Not Eligible
54578,652,Self-Employed,854807,Good,Eligible
92124,631,Employed,589376,Average,Not Eligible
137611,458,Self-Employed,369759,Good,Eligible
123605,323,Employed,422282,Good,Eligible
46790,703,Self-Employed,750406,Good,Eligible
138874,815,Self-Employed,322158,Good,Eligible
45289,663,Self-Employed,769785,Good,Eligible
75129,681,Employed,446489,Good,Eligible
113714,831,Employed,752495,Good,Eligible
114246,451,Employed,414986,Good,Eligible
35485,719,Unemployed,998385,Average,Not Eligible
64482,549,Employed,540238,Good,Not Eligible
106188,416,Employed,128077,Good,Eligible
24748,811,Self-Employed,189784,Poor,Not Eligible
106769,634,Employed,255776,Average,Not Eligible
29435,717,Employed,365018,Good,Eligible
23709,594,Employed,119087,Poor,Not Eligible
143961,670,Self-Employed,848729,Good,Eligible
50355,485,Employed,814629,Good,Not Eligible
75771,545,Employed,863560,Average,Not Eligible
77799,567,Employed,642656,Good,Not Eligible
33116,536,Employed,793859,Good,Not Eligible
45470,829,Employed,391102,Good,Eligible
62344,320,Employed,345064,Good,Eligible
62918,819,Employed,301514,Good,Eligible
72224,399,Self-Employed,978660,Poor,Not Eligible
59298,777,Employed,192180,Good,Eligible
128492,597,Self-Employed,999349,Poor,Not Eligible
100219,825,Unemployed,970304,Good,Eligible
81629,633,Self-Employed,834192,Average,Not Eligible
86040,301,Self-Employed,485928,Average,Not Eligible
119518,674,Employed,970114,Average,Eligible
119835,592,Employed,651891,Good,Eligible
48016,617,Employed,83872,Good,Not Eligible
43960,801,Employed,322872,Good,Eligible
53591,680,Unemployed,407246,Poor,Not Eligible
102848,313,Self-Employed,538535,Average,Not Eligible
123333,803,Employed,434193,Good,Eligible
131732,530,Employed,857015,Good,Eligible
134821,383,Self-Employed,135774,Good,Eligible
87641,429,Employed,974767,Average,Not Eligible
56395,444,Employed,438518,Good,Eligible
131276,327,Self-Employed,248522,Average,Not Eligible
149695,365,Employed,270357,Poor,Not Eligible
42700,462,Employed,462672,Good,Not Eligible
54620,528,Employed,927550,Good,Not Eligible
123214,560,Self-Employed,115942,Good,Eligible
148148,748,Employed,587977,Good,Eligible
40559,723,Employed,607564,Good,Eligible
113045,759,Employed,559565,Good,Eligible
113396,600,Employed,572552,Poor,Not Eligible
81642,602,Employed,676256,Good,Not Eligible
96539,586,Self-Employed,463089,Good,Eligible
41732,694,Employed,849482,Poor,Not Eligible
148675,309,Self-Employed,640504,Average,Not Eligible
111362,569,Employed,789804,Good,Eligible
50354,660,Employed,396184,Good,Eligible
33843,556,Employed,595932,Good,Not Eligible
130008,432,Employed,112021,Average,Not Eligible
134065,575,Employed,742485,Average,Not Eligible
91726,812,Employed,510115,Average,Eligible
37640,612,Employed,92291,Good,Not Eligible
72528,583,Employed,478276,Average,Not Eligible
58413,420,Employed,444754,Good,Eligible
148142,406,Self-Employed,353664,Good,Eligible
72638,503,Unemployed,75675,Good,Not Eligible
72736,464,Employed,723647,Good,Not Eligible
127892,604,Employed,312318,Good,Eligible
130133,796,Employed,142268,Average,Eligible
126357,455,Employed,347142,Poor,Not Eligible
88866,666,Employed,758672,Good,Eligible
39087,550,Self-Employed,979616,Good,Not Eligible
61430,633,Employed,679698,Good,Not Eligible
44504,810,Employed,387369,Good,Eligible
27114,592,Self-Employed,881246,Good,Not Eligible
98859,319,Employed,397235,Poor,Not Eligible
119657,581,Self-Employed,362863,Good,Eligible
30975,300,Employed,179887,Good,Not Eligible
31023,418,Employed,346063,Good,Not Eligible
41447,334,Employed,385299,Poor,Not Eligible
110469,497,Employed,383713,Average,Not Eligible
145899,784,Unemployed,877760,Poor,Not Eligible
43959,358,Employed,251554,Average,Not Eligible
86203,460,Unemployed,861050,Good,Not Eligible
139156,505,Employed,608963,Good,Eligible
49703,311,Employed,545010,Average,Not Eligible
29337,789,Employed,855351,Good,Eligible
66427,575,Employed,840605,Good,Not Eligible
141507,541,Unemployed,421513,Good,Not Eligible
81529,515,Employed,862832,Good,Not Eligible
122023,550,Employed,231517,Good,Eligible
104665,425,Employed,120305,Good,Eligible
125787,516,Employed,742924,Average,Not Eligible
51921,605,Employed,489030,Good,Not Eligible
53307,484,Employed,522963,Good,Not Eligible
47355,338,Self-Employed,663079,Good,Not Eligible
123268,522,Employed,209034,Good,Eligible
147016,483,Employed,528108,Good,Eligible
24835,794,Employed,644821,Good,Eligible
40159,726,Employed,237256,Good,Eligible
124346,477,Unemployed,526128,Good,Not Eligible
67605,727,Employed,940023,Good,Eligible
141790,593,Employed,715938,Good,Eligible
125616,450,Employed,705348,Good,Eligible
58088,683,Employed,723984,Good,Eligible
